happiness_rank,happiness_score,GDP,family,freedom,government_trust,generosity,country_id,continent_id
1,7.587,1.39651,1.34951,0.66557,0.41978,0.29678,30,2
2,7.561,1.30232,1.40223,0.62877,0.14145,0.4363,75,2
3,7.527,1.32548,1.36058,0.64938,0.48357,0.34139,43,2
4,7.522,1.459,1.33095,0.66973,0.36503,0.34699,118,2
5,7.427,1.32629,1.32261,0.63297,0.32957,0.45811,29,5
6,7.406,1.29025,1.31826,0.64169,0.41372,0.23351,51,2
7,7.378,1.32944,1.28017,0.61576,0.31814,0.4761,117,2
8,7.364,1.33171,1.28907,0.6598,0.43844,0.36262,150,2
9,7.286,1.25018,1.31967,0.63938,0.42922,0.47501,121,4
10,7.284,1.33358,1.30923,0.65124,0.35637,0.43562,9,4
11,7.278,1.22857,1.22393,0.41319,0.07785,0.33172,76,0
12,7.226,0.95578,1.23788,0.63376,0.10583,0.25497,37,5
13,7.2,1.33723,1.29704,0.62433,0.18676,0.33088,10,2
14,7.187,1.02054,0.91451,0.48181,0.21312,0.14074,99,5
15,7.119,1.39451,1.24711,0.54604,0.1589,0.40105,166,5
16,6.983,0.98124,1.23287,0.49049,0.17521,0.14574,24,3
17,6.946,1.56391,1.21963,0.61583,0.37798,0.28034,92,2
18,6.94,1.33596,1.36948,0.61777,0.28703,0.45901,73,2
19,6.937,1.30782,1.28566,0.5845,0.2254,0.2225,13,2
20,6.901,1.42727,1.12575,0.64157,0.38583,0.26428,4,0
21,6.867,1.26637,1.28548,0.59625,0.32067,0.51912,55,2
22,6.853,1.36011,1.08182,0.63274,0.32524,0.21542,122,0
23,6.81,1.04424,1.25596,0.42908,0.11069,0.05841,174,3
24,6.798,1.52186,1.02,0.54252,0.4921,0.31105,139,0
25,6.786,1.06353,1.1985,0.5421,0.0927,0.24434,124,5
26,6.75,1.32792,1.29937,0.61477,0.21843,0.28214,40,2
27,6.67,1.10715,1.12447,0.44132,0.12869,0.33363,31,3
28,6.611,1.69042,1.0786,0.6404,0.52208,0.32573,133,0
29,6.575,1.27778,1.26038,0.55011,0.20646,0.12332,53,2
30,6.574,1.05351,1.24823,0.44974,0.08484,0.11451,5,3
31,6.505,1.17898,1.20643,0.46364,0.02652,0.10686,175,2
32,6.485,1.06166,1.2089,0.60362,0.24558,0.2324,165,3
33,6.477,0.91861,1.24018,0.53466,0.0512,0.18401,35,3
34,6.455,0.9669,1.26504,0.55664,0.03187,0.5763,155,0
35,6.411,1.39541,1.08393,0.31048,0.32524,0.13706,136,0
36,6.329,1.23011,1.31379,0.45951,0.06398,0.18227,48,2
37,6.302,1.2074,1.30203,0.60365,0.13586,0.51752,103,2
38,6.298,1.29098,1.07617,0.3974,0.08129,0.25376,176,0
39,6.295,1.55422,1.16594,0.55499,0.25609,0.16228,85,0
40,6.269,0.99534,0.972,0.59657,0.13633,0.16991,148,3
41,6.168,1.21183,1.18354,0.55884,0.0114,0.31844,159,5
42,6.13,0.76454,1.02507,0.4035,0.11776,0.10692,142,5
43,6.123,0.74553,1.04356,0.57733,0.09472,0.27489,64,5
44,6.003,0.63244,1.34043,0.65821,0.30826,0.22837,167,0
45,5.995,1.16891,1.26999,0.31751,0.03431,0.16893,177,2
46,5.987,1.27074,1.25712,0.49615,0.1806,0.10705,80,0
47,5.984,1.24461,0.95774,0.33208,0.07857,0.18557,178,0
48,5.975,0.86402,0.99903,0.48574,0.1809,0.11541,46,3
49,5.96,1.32376,1.21624,0.45492,0.306,0.17362,18,0
50,5.948,1.25114,1.19777,0.26236,0.02901,0.22823,77,2
51,5.89,0.68133,0.97841,0.57414,0.088,0.20536,23,3
52,5.889,0.59448,1.01528,0.32818,0.01615,0.20951,96,2
53,5.878,0.75985,1.30477,0.53899,0.08242,0.3424,132,3
54,5.855,1.12254,1.12241,0.51649,0.08454,0.11827,81,0
55,5.848,1.18498,1.27385,0.60855,0.03787,0.25328,149,2
56,5.833,1.14723,1.25745,0.21342,0.01031,0.02641,91,2
57,5.828,0.59325,1.14184,0.55475,0.19317,0.27815,116,5
58,5.824,0.90019,0.97459,0.41496,0.05989,0.14982,125,3
59,5.813,1.03192,1.23289,0.37938,0.1909,0.11046,20,2
60,5.791,1.12555,1.27948,0.53122,0.04212,0.16759,129,2
61,5.77,1.12486,1.07023,0.53024,0.10501,0.33075,112,0
62,5.759,1.08254,0.79624,0.25883,0.0243,0.05444,68,2
63,5.754,1.13145,1.11862,0.41668,0.11023,0.18295,88,1
64,5.716,1.13764,1.23617,0.36679,0.03005,0.00199,179,2
65,5.709,0.81038,1.15102,0.50442,0.02299,0.2123,78,5
66,5.695,1.20806,1.07008,0.49027,0.1428,0.26169,180,6
67,5.689,1.20813,0.89318,0.40672,0.06146,0.30638,39,0
68,5.605,0.93929,1.07772,0.28579,0.17383,0.07822,45,1
69,5.589,0.80148,0.81198,0.24749,0.04741,0.2831,181,6
70,5.548,0.95847,1.22668,0.4761,0.30844,0.16979,157,0
71,5.477,1.00761,0.98521,0.56066,0.07521,0.37744,110,1
72,5.474,1.38604,1.05818,0.59608,0.37124,0.39478,182,0
73,5.429,1.15174,1.22791,0.44888,0.15184,0.0868,49,2
74,5.399,0.82827,1.08708,0.46611,0.0,0.51535,71,0
75,5.36,0.63216,0.91226,0.59444,0.10441,0.1686,168,0
76,5.332,1.06098,0.94632,0.22815,0.15746,0.12253,183,0
77,5.286,0.47428,1.15115,0.43477,0.04232,0.3003,184,0
78,5.268,0.65435,0.90432,0.34334,0.0403,0.27233,115,1
79,5.253,0.77042,1.10395,0.53206,0.15445,0.47998,26,0
80,5.212,1.02389,0.93793,0.3703,0.16065,0.07799,11,0
81,5.194,0.59543,0.41411,0.12102,0.10464,0.33671,123,0
82,5.192,0.90198,1.05392,0.40661,0.14293,0.11053,79,0
82,5.192,0.97438,0.90557,0.1826,0.14296,0.1614,105,2
84,5.14,0.89012,0.94675,0.51697,0.02781,0.08185,32,0
85,5.129,0.47038,0.91612,0.48827,0.12468,0.19591,172,1
86,5.124,1.04345,0.88588,0.35068,0.00649,0.13748,134,2
87,5.123,0.92053,1.00964,0.20107,0.02617,0.19231,145,2
88,5.102,1.15991,1.13935,0.51469,0.01078,0.13719,131,2
89,5.098,1.11312,1.09562,0.29671,0.06332,0.18226,93,2
90,5.073,0.70532,1.03516,0.62545,0.12279,0.24991,126,0
91,5.057,0.18847,0.95152,0.46582,0.39928,0.50318,185,6
92,5.013,0.73479,0.64095,0.41691,0.08546,0.07172,94,1
93,5.007,0.91851,1.00232,0.33457,0.05327,0.22359,186,2
94,4.971,0.08308,1.02626,0.34037,0.15603,0.22269,108,1
95,4.959,0.87867,0.80434,0.35733,0.06413,0.14272,2,2
96,4.949,0.83223,0.91916,0.09245,0.00227,0.24808,19,2
97,4.898,0.37545,1.04103,0.31767,0.12504,0.16388,90,1
98,4.885,0.89537,1.17202,0.57672,0.14234,0.21684,44,5
99,4.876,0.59066,0.73803,0.59591,0.24249,0.42192,187,0
100,4.874,0.82819,1.3006,0.43626,0.02666,0.3323,106,0
101,4.867,0.71206,1.07284,0.30658,0.0306,0.18259,188,1
102,4.857,1.15406,0.92933,0.07699,0.01397,0.0,61,2
103,4.839,1.02564,0.80001,0.33916,0.04582,0.21854,86,0
104,4.8,1.12094,1.20215,0.32112,0.02758,0.128,70,2
105,4.788,0.59532,0.95348,0.40148,0.06825,0.23027,67,5
106,4.786,0.39047,0.85563,0.47216,0.15072,0.22974,156,0
107,4.739,0.88113,0.60429,0.26268,0.06358,0.06431,160,1
108,4.715,0.59867,0.92558,0.24499,0.12905,0.11251,189,6
109,4.694,0.39753,0.43106,0.4082,0.12569,0.21222,16,0
110,4.686,1.0088,0.54447,0.30033,0.05863,0.38086,190,0
111,4.681,0.79907,1.20278,0.25123,0.02961,0.15275,164,2
112,4.677,0.98549,0.81889,0.0,0.13788,0.17922,74,0
113,4.642,0.92049,1.18468,0.33207,0.08884,0.11973,171,1
114,4.633,0.54558,0.67954,0.42342,0.04355,0.23087,57,1
115,4.61,0.271,1.03276,0.25861,0.08079,0.18987,173,1
116,4.571,0.0712,0.78968,0.28531,0.06232,0.24362,87,1
117,4.565,0.64499,0.38174,0.39786,0.08492,0.26475,72,0
118,4.55,0.52107,1.01404,0.10081,0.1466,0.19062,137,1
119,4.518,0.26673,0.74302,0.24425,0.17175,0.46187,69,5
120,4.517,0.0,1.0012,0.22605,0.07625,0.24834,191,6
121,4.514,0.35997,0.86449,0.38282,0.05907,0.32296,119,0
122,4.512,0.19073,0.60406,0.4345,0.15048,0.24325,50,1
123,4.507,0.33024,0.95571,0.4084,0.08786,0.21488,141,1
124,4.436,0.45407,0.86908,0.24232,0.17461,0.219,109,1
125,4.419,0.36471,0.99876,0.42215,0.05839,0.37542,82,1
126,4.369,0.44025,0.59207,0.46074,0.28105,0.18093,41,1
127,4.35,0.76821,0.77711,0.19847,0.039,0.07855,6,0
128,4.332,0.99355,1.10464,0.49495,0.12474,0.10461,27,1
129,4.307,0.27108,0.70905,0.44017,0.19034,0.79588,104,0
130,4.297,0.7419,0.38562,0.40577,0.38331,0.05547,56,0
131,4.292,0.01604,0.41134,0.43054,0.06977,0.33128,111,1
132,4.271,0.83524,1.01905,0.53726,0.09179,0.40828,89,0
133,4.252,0.4225,0.88767,0.49309,0.05786,0.20618,34,1
134,4.218,1.01216,1.10614,0.30587,0.00872,0.11921,17,2
135,4.194,0.8818,0.747,0.17288,0.06324,0.11291,192,1
136,4.077,0.54649,0.68093,0.35571,0.07854,0.09131,193,0
137,4.033,0.75778,0.8604,0.10384,0.07122,0.12344,1,1
138,3.995,0.26074,1.03526,0.38857,0.12352,0.18798,102,1
139,3.989,0.67866,0.6629,0.41466,0.11686,0.12388,194,6
140,3.956,0.23906,0.79273,0.22917,0.199,0.17441,36,1
141,3.931,0.21102,1.13299,0.45727,0.07267,0.29066,163,1
142,3.904,0.36498,0.97619,0.36772,0.10713,0.20843,138,1
143,3.896,1.06024,0.90528,0.31914,0.11091,0.06822,54,1
144,3.845,0.0694,0.77265,0.47692,0.15639,0.19387,114,1
145,3.819,0.46038,0.62736,0.66246,0.07247,0.40359,83,0
146,3.781,0.2852,1.00268,0.32878,0.05747,0.34377,162,1
147,3.681,0.20824,0.66801,0.19184,0.08124,0.21333,97,1
148,3.678,0.0785,0.0,0.48879,0.08289,0.23835,28,1
149,3.667,0.34193,0.76062,0.23501,0.05269,0.18386,153,1
150,3.656,0.17417,0.46475,0.37725,0.12139,0.28657,58,1
151,3.655,0.46534,0.77115,0.46866,0.17922,0.20165,195,1
152,3.587,0.25812,0.85188,0.39493,0.12832,0.21747,15,1
153,3.575,0.31982,0.30285,0.23414,0.09719,0.3651,0,0
154,3.465,0.22208,0.7737,0.59201,0.55191,0.22628,135,1
155,3.34,0.28665,0.35386,0.4845,0.0801,0.1826,14,1
156,3.006,0.6632,0.47489,0.15684,0.18906,0.47179,196,0
157,2.905,0.0153,0.41587,0.1185,0.10062,0.19727,12,1
158,2.839,0.20868,0.13995,0.36453,0.10731,0.16681,154,1
